entity_id,report_date,department,transaction_amount,risk_score,status,reviewer_id,data_completeness,reported_by,notes
ENT-0001,2024-01-01,Finance,187895.52,76.11,clear,REV-001,88.55,USER-001,Submission notes for record 1
ENT-0002,2024-01-02,Operations,299730.58,13.33,clear,REV-002,66.08,USER-002,Submission notes for record 2
ENT-0003,2024-01-03,Risk,29983.72,,clear,REV-003,83.44,USER-003,Submission notes for record 3
ENT-0004,2024-01-04,Compliance,354328.22,2.63,clear,REV-004,97.83,USER-004,Submission notes for record 4
ENT-0005,2024-01-05,Finance,2500000.0,17.77,clear,REV-005,67.09,USER-005,Submission notes for record 5
ENT-0006,2024-01-06,Operations,92518.85,25.04,clear,REV-001,80.47,USER-006,Submission notes for record 6
ENT-0007,,Risk,216540.56,24.01,clear,REV-002,83.86,USER-007,Submission notes for record 7
ENT-0008,2024-01-08,Compliance,70607.44,24.08,clear,REV-003,74.29,USER-008,Submission notes for record 8
ENT-0009,2024-01-09,Finance,9800000.0,63.03,clear,REV-004,67.79,USER-009,Submission notes for record 9
ENT-0010,2024-01-10,Operations,257602.98,47.8,clear,REV-005,61.81,USER-010,Submission notes for record 10
ENT-0011,2024-01-11,Risk,304164.88,14.47,clear,REV-001,62.54,USER-001,Submission notes for record 11
ENT-0012,2024-01-12,Compliance,,77.28,clear,REV-002,91.53,USER-002,Submission notes for record 12
ENT-0013,2024-01-13,Finance,153002.27,8.72,clear,REV-003,86.69,USER-003,Submission notes for record 13
ENT-0014,2024-01-14,Operations,220636.09,10.64,clear,REV-004,79.31,USER-004,Submission notes for record 14
ENT-0015,2024-01-15,Risk,18159.87,105.0,clear,REV-005,70.09,USER-005,Submission notes for record 15
ENT-0016,2024-01-16,Compliance,331598.62,25.63,clear,REV-001,80.28,USER-006,Submission notes for record 16
ENT-0017,2024-01-17,Finance,273808.43,15.6,clear,REV-002,97.81,USER-007,Submission notes for record 17
,2024-01-18,Operations,387791.28,75.22,clear,REV-003,94.9,USER-008,Submission notes for record 18
ENT-0019,2024-01-19,Risk,299352.09,73.83,clear,REV-004,63.45,USER-009,Submission notes for record 19
ENT-0020,2024-01-20,Compliance,98795.45,0.01,clear,REV-005,72.69,USER-010,Submission notes for record 20
ENT-0021,2024-01-21,Finance,194949.97,22.44,clear,REV-001,92.32,USER-001,Submission notes for record 21
ENT-0022,2024-01-22,Operations,179019.91,23.19,flagged,,81.17,USER-002,Submission notes for record 22
ENT-0023,2024-01-23,Risk,71321.19,64.37,clear,REV-003,62.91,USER-003,Submission notes for record 23
ENT-0024,2024-01-24,Compliance,493456.58,62.01,clear,REV-004,67.75,USER-004,Submission notes for record 24
ENT-0025,2024-01-25,Finance,3755.54,65.42,clear,REV-005,-5.0,USER-005,Submission notes for record 25
ENT-0026,2024-01-26,Operations,364774.58,61.93,clear,REV-001,62.89,USER-006,Submission notes for record 26
ENT-0027,2024-01-27,Risk,179874.4,10.15,clear,REV-002,93.66,USER-007,Submission notes for record 27
ENT-0028,2024-01-28,Compliance,312025.77,27.14,clear,REV-003,62.48,USER-008,Submission notes for record 28
ENT-0029,2024-01-29,Finance,156180.18,26.69,clear,REV-004,88.45,USER-009,Submission notes for record 29
ENT-0030,2024-01-30,Operations,319141.18,71.09,clear,REV-005,0.5,USER-010,Submission notes for record 30
ENT-0031,2024-01-31,Risk,60677.53,57.35,clear,REV-001,89.67,USER-001,Submission notes for record 31
ENT-0032,2024-02-01,Compliance,281077.32,61.91,clear,REV-002,79.26,USER-002,Submission notes for record 32
ENT-0033,2024-02-02,Finance,261843.68,34.78,clear,REV-003,60.99,USER-003,Submission notes for record 33
ENT-0034,2024-02-03,Operations,54837.82,3.48,clear,REV-004,84.82,USER-004,Submission notes for record 34
ENT-0035,2024-02-04,Risk,157863.63,41.18,flagged,,95.4,USER-005,Submission notes for record 35
ENT-0036,2024-02-05,Compliance,125396.82,33.42,clear,REV-001,89.47,USER-006,Submission notes for record 36
ENT-0037,2024-02-06,Finance,115170.28,7.08,clear,REV-002,71.3,USER-007,Submission notes for record 37
ENT-0038,2024-02-07,Operations,81449.42,74.45,clear,REV-003,91.52,USER-008,Submission notes for record 38
ENT-0039,2024-02-08,Risk,317068.47,69.85,clear,REV-004,91.34,USER-009,Submission notes for record 39
ENT-0040,2024-02-09,Compliance,94098.46,71.51,clear,REV-005,81.03,USER-010,Submission notes for record 40
